anno;Consumo pro capite tipo;Consumo pro capite
2011;Energia elettrica per uso domestico;1196.10
2011;Gas metano per uso domestico e riscaldamento;377.9
2011;Acqua fatturata per uso domestico;83.1
2010;Energia elettrica per uso domestico;1200.70
2010;Gas metano per uso domestico e riscaldamento;406.2
2010;Acqua fatturata per uso domestico;83.2
2009;Energia elettrica per uso domestico;1202.90
2009;Gas metano per uso domestico e riscaldamento;389.6
2009;Acqua fatturata per uso domestico;85.8
2008;Energia elettrica per uso domestico;1203.00
2008;Gas metano per uso domestico e riscaldamento;384.9
2008;Acqua fatturata per uso domestico;84.5
2007;Energia elettrica per uso domestico;1197.00
2007;Gas metano per uso domestico e riscaldamento;381.1
2007;Acqua fatturata per uso domestico;81.6
2006;Energia elettrica per uso domestico;1219.70
2006;Gas metano per uso domestico e riscaldamento;431.3
2006;Acqua fatturata per uso domestico;82.2
2005;Energia elettrica per uso domestico;1225.00
2005;Gas metano per uso domestico e riscaldamento;434.5
2005;Acqua fatturata per uso domestico;81.3
2004;Energia elettrica per uso domestico;1228.60
2004;Gas metano per uso domestico e riscaldamento;442.4
2004;Acqua fatturata per uso domestico;80.4
2003;Energia elettrica per uso domestico;1222.80
2003;Gas metano per uso domestico e riscaldamento;480.2
2003;Acqua fatturata per uso domestico;87.3
2002;Energia elettrica per uso domestico;1195.50
2002;Gas metano per uso domestico e riscaldamento;504.2
2002;Acqua fatturata per uso domestico;90.4
2001;Energia elettrica per uso domestico;1143.90
2001;Gas metano per uso domestico e riscaldamento;500.7
2001;Acqua fatturata per uso domestico;91.3
2000;Energia elettrica per uso domestico;1130.20
2000;Gas metano per uso domestico e riscaldamento;509
2000;Acqua fatturata per uso domestico;92.1
